feedback,sentiment,rating,char_length,word_length,clean_feedback,sentiment_encoded
When to the OPD section the staff there prioritise their own people for the doctors visit Inspite of taking appointment was made to wait for 2 hrs and the staff there was prioritising the medical reps and other agents.,0,2,218,39,when to the opd section the staff there prioritise their own people for the doctors visit inspite of taking appointment was made to wait for hrs and the staff there was prioritising the medical reps and other agents,0
Worst Emergency service I have ever seen I kept waiting for more than 3 hrs to get IV Injection The hospital does not have separate facility to provide IV injection or other similar kind of operations.,0,1,201,36,worst emergency service i have ever seen i kept waiting for more than hrs to get iv injection the hospital does not have separate facility to provide iv injection or other similar kind of operations,0
I do not recommend this hospital at all Please think twice before going to Narayana Hospital HSR layout.,0,2,104,18,i do not recommend this hospital at all please think twice before going to narayana hospital hsr layout,0
prompt punctual attentive and courteous well attending care giving minutely attentive Cost reasonable.,1,5,102,13,prompt punctual attentive and courteous well attending care giving minutely attentive cost reasonable,1
No support for patients after consultation hour only you can talk to doctor  if you book a appointment Being regular visitor also not helpful Doctor is good but Naryana HealthCare hospital is bad.,0,1,196,33,no support for patients after consultation hour only you can talk to doctor if you book a appointment being regular visitor also not helpful doctor is good but naryana healthcare hospital is bad,0
Most pathetic clinic I would say They did X-ray unnecessary and most importantly they told me I have infection in lungs When checked with other doctor it was all good Not recommended at all.,0,2,190,34,most pathetic clinic i would say they did xray unnecessary and most importantly they told me i have infection in lungs when checked with other doctor it was all good not recommended at all,0
This is an emergency case and you would at least expect one person to be sent inside with the patient just for an emergency situation but they wonâ€™t 1 star for hospitality here.,0,1,179,33,this is an emergency case and you would at least expect one person to be sent inside with the patient just for an emergency situation but they wont star for hospitality here,0
Treatment is really awesome,1,5,27,4,treatment is really awesome,1
"They asked me to come after 2 days to show to the orthopedician and when I came for the same they are treating me as new patient asking me to book an appointment with the orthopedician and wait for slot.""",0,1,204,40,they asked me to come after days to show to the orthopedician and when i came for the same they are treating me as new patient asking me to book an appointment with the orthopedician and wait for slot,0
Matter is not specifically the money it is the attitude or gesture which hurts the tensed patients.,0,2,99,17,matter is not specifically the money it is the attitude or gesture which hurts the tensed patients,0
"We had booked an eye consultation with Dr Vinay Patil but some other dr checked us under his name and didn't give eye no. also, he then redirected us to Sankalp Nethralaya hospitaloverall eye checkup experience was very bad.",0,1,224,39,we had booked an eye consultation with dr vinay patil but some other dr checked us under his name and didnt give eye no also he then redirected us to sankalp nethralaya hospitaloverall eye checkup experience was very bad,0
One good thing about this hospital in comparison to other ones is the responsiveness of the all staff though there are delays.,1,3,126,22,one good thing about this hospital in comparison to other ones is the responsiveness of the all staff though there are delays,1
One if the worst experiences I had today.,0,1,41,8,one if the worst experiences i had today,0
It was overall good experience Doctor and Management from NH were supportive Bajaj Finserv came as saviour when our claim from insurer got rejected  me to get the process done with no glitches.,1,4,193,33,it was overall good experience doctor and management from nh were supportive bajaj finserv came as saviour when our claim from insurer got rejected me to get the process done with no glitches,1
Good service by Dr jagadish in helping us in resolving our issues dilip Kumar In co ordinating.,1,5,95,17,good service by dr jagadish in helping us in resolving our issues dilip kumar in co ordinating,1
another worst experience simply people be there and many things not available i don't know what the pharmacy manager do there  not doing their job properly i has this experience many times.,1,3,189,32,another worst experience simply people be there and many things not available i dont know what the pharmacy manager do there not doing their job properly i has this experience many times,1
Treatment and other services are good They will charge more for emergency services during night In house canteen for and food service for patients admitted is not good Iâ€™m disappointed with their timely service.,1,3,213,34,treatment and other services are good they will charge more for emergency services during night in house canteen for and food service for patients admitted is not good im disappointed with their timely service,1
"Very poor bad worst experience For a hairline fracture as per doctor Due to unwanted plaster cast for 2 months I made my leg underperformer else i was fit for running I asked Doctor to show me the crack in CT report He refused. """,0,1,229,45,very poor bad worst experience for a hairline fracture as per doctor due to unwanted plaster cast for months i made my leg underperformer else i was fit for running i asked doctor to show me the crack in ct report he refused,0
If you are choosing this hospital for treatment or surgery then please do it at your own risk they are really good unless you admit and get your treatment started.,0,1,163,30,if you are choosing this hospital for treatment or surgery then please do it at your own risk they are really good unless you admit and get your treatment started,0
I had been visited the hospital last week It's an imagine hospital Everybody is very helpful Especially Mrs Runa Das She is very much helpful and very co-operative I never forget her help during my visit.,1,5,204,36,i had been visited the hospital last week its an imagine hospital everybody is very helpful especially mrs runa das she is very much helpful and very cooperative i never forget her help during my visit,1
Recently visited this hospital Doctors are extremely good but the management and the service provided by the staff is worst Vitals checking persons are very careless.,0,1,166,26,recently visited this hospital doctors are extremely good but the management and the service provided by the staff is worst vitals checking persons are very careless,0
Visited Naraya hrudayalaya for health checkup during the weekend Usually very crowded and took around 5-6 hours for complete routine checkup Staff is supportive and cleanliness is maintained.,1,5,191,28,visited naraya hrudayalaya for health checkup during the weekend usually very crowded and took around hours for complete routine checkup staff is supportive and cleanliness is maintained,1
I would have given 0 if there is an option I took my father to emergency ward and we waited 2 hours no body attended him at all What is the purpose of emergency if you dont have anyone to treat patient.,1,5,202,42,i would have given if there is an option i took my father to emergency ward and we waited hours no body attended him at all what is the purpose of emergency if you dont have anyone to treat patient,1
Worst hospital in Bangalore only money making market As soon u go to emergency ward u will end up going to ICU & all the hospital diagnostics are used to make moneyr.,0,1,166,32,worst hospital in bangalore only money making market as soon u go to emergency ward u will end up going to icu all the hospital diagnostics are used to make moneyr,0
I have consulted Dr Karthik sir  no hurry explains issue  calmy and won't suggest unnecessary test.,1,4,99,16,i have consulted dr karthik sir no hurry explains issue calmy and wont suggest unnecessary test,1
Must come for any cardio issue they are Titans for cardio health! Thank you NH team from ground handling staff to doctors all are superb in their assigned job Kudos to the organization.,1,5,185,33,must come for any cardio issue they are titans for cardio health thank you nh team from ground handling staff to doctors all are superb in their assigned job kudos to the organization,1
The hospital will not take you for a ride with unwanted tests The doctors do physical examination and with the symptoms findings and their experience proceed with medication.,1,5,174,28,the hospital will not take you for a ride with unwanted tests the doctors do physical examination and with the symptoms findings and their experience proceed with medication,1
Hospital staff is very irresponsible Their behaviour is not good They are taking so much time for small treatment This hospital is not good for major injury and in emergency.,0,2,174,30,hospital staff is very irresponsible their behaviour is not good they are taking so much time for small treatment this hospital is not good for major injury and in emergency,0
One of the rare hospital brands in bangalore which still keep the dignity of this profession The hospital management system is efficient and the staff  helpful The doctors are competent.,1,3,186,30,one of the rare hospital brands in bangalore which still keep the dignity of this profession the hospital management system is efficient and the staff helpful the doctors are competent,1
Dr Sujith MS has been very helpful during every visit at NH hospital Thank you doctor and NH hospital.,1,5,102,19,dr sujith ms has been very helpful during every visit at nh hospital thank you doctor and nh hospital,1
Dr Ramesh Patil examined me carefully and satisfied by all means as an expert neurologist He impressed deeply with his cool behaviour.,1,5,134,22,dr ramesh patil examined me carefully and satisfied by all means as an expert neurologist he impressed deeply with his cool behaviour,1
"Worst hospital don't go here Never recommending this hospital to anyone Instead go to Apollo or some other hospital that have more sense that you shouldn't keep the patient waiting.,Negative,2
Service is excellent but charges are extremely high compared to Apollo 24/7 for lab reports,Positive ,5
This place is open just for minting money. It is so obvious in their behaviour. They manipulate test results in their favour so you can get admitted where no admission is required at all. This has happened to my uncle and a neighbor. ,Negative,2
Doctors and staff are very supportive and helpful. This is my first visit to HSR LAY OUT HOSPITAL. I am amazed.,Negative,1
First don't admit your loved one here. Chutiya hospital, can't diagnose or find anything even after 3 days of icu admission with lots of repetitive tests. Can't cure even dengue despite admitted on very first day of fever. ",0,2,889,149,worst hospital dont go here never recommending this hospital to anyone instead go to apollo or some other hospital that have more sense that you shouldnt keep the patient waitingnegative service is excellent but charges are extremely high compared to apollo for lab reportspositive this place is open just for minting money it is so obvious in their behaviour they manipulate test results in their favour so you can get admitted where no admission is required at all this has happened to my uncle and a neighbor negative doctors and staff are very supportive and helpful this is my first visit to hsr lay out hospital i am amazednegative first dont admit your loved one here chutiya hospital cant diagnose or find anything even after days of icu admission with lots of repetitive tests cant cure even dengue despite admitted on very first day of fever,0
With the excellent support guidance and supervision of Dr Manjula Gynaecologist in Narayana Multi-speciality Hospital HSR layout surgery for my wife went on well and smooth.,1,5,173,26,with the excellent support guidance and supervision of dr manjula gynaecologist in narayana multispeciality hospital hsr layout surgery for my wife went on well and smooth,1
Worst hospital please never go to this hospital in emergency ward they are just money looters and they just want all patients to go to ICU .,0,1,140,27,worst hospital please never go to this hospital in emergency ward they are just money looters and they just want all patients to go to icu,0
Very good service and good doctors Only challenge is with Parking With patient of u r alone it is a big challenge Also the location is such you hardly get a proper parking.,1,3,172,33,very good service and good doctors only challenge is with parking with patient of u r alone it is a big challenge also the location is such you hardly get a proper parking,1
examined me carefully and satisfied by all means as an expert neurologist! He impressed deeply with his cool behaviour.,0,1,119,19,examined me carefully and satisfied by all means as an expert neurologist he impressed deeply with his cool behaviour,0
The Hospital offers great patient care but the roads are very very Narrow and highly impossible to get parking available here or in the vicinity.,1,3,145,25,the hospital offers great patient care but the roads are very very narrow and highly impossible to get parking available here or in the vicinity,1
Very good experience The doctor has addressed my health issue very patiently and I had quick recovery. ,1,5,103,17,very good experience the doctor has addressed my health issue very patiently and i had quick recovery,1
This is a second time we visited here this time we have done a surgery from here Doctors and nurses are very professional and helpful.Hospital promises clean and services very good Hope a good future ahead Thank you.,1,5,216,38,this is a second time we visited here this time we have done a surgery from here doctors and nurses are very professional and helpfulhospital promises clean and services very good hope a good future ahead thank you,1
Emergency is a joke here They have been asking us to just wait and wait The concerned patient has very high fever with dengue Multiple payments .,0,2,145,27,emergency is a joke here they have been asking us to just wait and wait the concerned patient has very high fever with dengue multiple payments,0
I really wish and hope that someone from the upper management reads this You guys have everything available yet the hospital will never achieve any greatness And it'll be on you.,1,3,178,31,i really wish and hope that someone from the upper management reads this you guys have everything available yet the hospital will never achieve any greatness and itll be on you,1
Prompt service v good housekeeping disciplined nursing above all expert doctors well managed OT facilities.,1,3,107,15,prompt service v good housekeeping disciplined nursing above all expert doctors well managed ot facilities,1
Fantastic medical care+ highest degree of professionalism awesome peace of mind for the patient n family Keep up the good work.,1,5,127,21,fantastic medical care highest degree of professionalism awesome peace of mind for the patient n family keep up the good work,1
A very well managed medical superspeciality with hassle free assistance to patients and their family A must recommended to citizens.,1,4,132,20,a very well managed medical superspeciality with hassle free assistance to patients and their family a must recommended to citizens,1
Recently i had a fracture in my right hand. I went to Narayana hospital Hsr to get diagnosed by one of the best doctor .,1,5,120,25,recently i had a fracture in my right hand i went to narayana hospital hsr to get diagnosed by one of the best doctor,1
Worst worst Gives good suggestion And the staff were good at patients Eerashi and Arun sisters were helpful to the patients  I was forced by them to post good opinion but it was worst ,1,3,184,34,worst worst gives good suggestion and the staff were good at patients eerashi and arun sisters were helpful to the patients i was forced by them to post good opinion but it was worst,1
Hears your issues and addresses them Staff are absolutely dears Soft-spoken and helpful Billing needs improvement.,1,5,114,16,hears your issues and addresses them staff are absolutely dears softspoken and helpful billing needs improvement,1
Last l was visiting the hospital very experienced Doctor is there specially Dr.Guddu and Miss Anu Thanks.,1,5,105,17,last l was visiting the hospital very experienced doctor is there specially drguddu and miss anu thanks,1
One of best hospital in Bangalore Doctors and staffs are very polite with the patient and understanding the problem and giving best treatment Also the maintenance of hospital with clean neat and tidy.,1,5,200,33,one of best hospital in bangalore doctors and staffs are very polite with the patient and understanding the problem and giving best treatment also the maintenance of hospital with clean neat and tidy,1
I have an excellent experience with with the service the provided and also Dr Sujit is a very good doctor.,1,4,106,20,i have an excellent experience with with the service the provided and also dr sujit is a very good doctor,1
THEY LET THE EMMERGENCY PATIENT TO DIE I took my 65yr mom as she keep complaining about chest pain i told them we are here for EMMERGENCY showing mom feeling breathless.,0,1,169,31,they let the emmergency patient to die i took my yr mom as she keep complaining about chest pain i told them we are here for emmergency showing mom feeling breathless,0
Prompt service v good housekeeping disciplined nursing above all expert doctors well managed OT facilities.,1,4,107,15,prompt service v good housekeeping disciplined nursing above all expert doctors well managed ot facilities,1
Dr Saji M J  have been consulting him from past 4 years one of the finest doctor to be known and also a good human being.,1,5,121,26,dr saji m j have been consulting him from past years one of the finest doctor to be known and also a good human being,1
The session with Dr Jagadeesh as very insightful He patiently answered all my queries and made me understand the intricacies involved with my kidney issue I strongly recommend him for any Urology related issues.,1,4,211,34,the session with dr jagadeesh as very insightful he patiently answered all my queries and made me understand the intricacies involved with my kidney issue i strongly recommend him for any urology related issues,1
Manjunath kp said he will come at 8 pm on September 16 still he is not here  And my kid is having fever  there are many patients waiting from 7pm now it's already 9 pm.,0,1,168,35,manjunath kp said he will come at pm on september still he is not here and my kid is having fever there are many patients waiting from pm now its already pm,0
Courteous treatment by the attending support staff Dr Sarat Damodar is excellent and very helpful in making me to understand the issues involved and put me on satisfactory regimen Thanks to him and everyone at NMH.,1,4,214,36,courteous treatment by the attending support staff dr sarat damodar is excellent and very helpful in making me to understand the issues involved and put me on satisfactory regimen thanks to him and everyone at nmh,1
Money loot Hospital Emergency ward is not actually it is It is a fun ward on patients They cannot able to identify the Root cause of the problem. ,0,2,146,28,money loot hospital emergency ward is not actually it is it is a fun ward on patients they cannot able to identify the root cause of the problem,0
They charged us 1 lakh rs for just 24 hrs hospitalization On arguing and checking the bill after I almost paid the money.,0,2,121,23,they charged us lakh rs for just hrs hospitalization on arguing and checking the bill after i almost paid the money,0
Very good consultation with dr Karthik sir  General medicine I Ã m really happy  and coordinatior Revathi also helped me a lot I am really tanks to dr Karthik and Revathi I am really recommend to this dr and hospital.,1,5,217,40,very good consultation with dr karthik sir general medicine i m really happy and coordinatior revathi also helped me a lot i am really tanks to dr karthik and revathi i am really recommend to this dr and hospital,1
Everyone in staff as well as doctors were very helpful and with good behaviour Had a smooth experience through my consultation and diagnoses for a week.,1,4,152,26,everyone in staff as well as doctors were very helpful and with good behaviour had a smooth experience through my consultation and diagnoses for a week,1
Excellent treatment Best doctors and nurses My kid got well in 3 days.,1,5,70,13,excellent treatment best doctors and nurses my kid got well in days,1
Completely unhelpful and exploitative staff None of the Narayana Brand principles are followed here They will exploit you for money with uneccessary tests and procedures Got refused twice in ER as well when family members had emergency.,0,1,236,37,completely unhelpful and exploitative staff none of the narayana brand principles are followed here they will exploit you for money with uneccessary tests and procedures got refused twice in er as well when family members had emergency,0
Well organised helpful and supporting staff and above all very professional and experienced doctors who listens and understand the patients.,1,5,140,20,well organised helpful and supporting staff and above all very professional and experienced doctors who listens and understand the patients,1
Dr saji orthopedic is an asset of the hospital His way of treatingPatients is excellent We are happy.,1,5,101,18,dr saji orthopedic is an asset of the hospital his way of treatingpatients is excellent we are happy,1
Best management best doctors and best services I am going to Narayana hrudayalaya since 15 years and always satisfied with the consultations and doctors.,1,5,153,24,best management best doctors and best services i am going to narayana hrudayalaya since years and always satisfied with the consultations and doctors,1
Excellent Prompt hospitality services During stay of 1 week Doctors paid continuous visits & responded as needed  promptly At one point they had to be vigilant whole night & saved the patient.,1,5,192,32,excellent prompt hospitality services during stay of week doctors paid continuous visits responded as needed promptly at one point they had to be vigilant whole night saved the patient,1
Extremely knowledgeable and very good Doctors I have been admitted for a infection and lung issues Very courteous and professional supporting staff.,1,4,148,22,extremely knowledgeable and very good doctors i have been admitted for a infection and lung issues very courteous and professional supporting staff,1
We had to wait an hour despite having an appointment This isnâ€™t the first time this happened They have no understanding of how to manage the appointment queue itâ€™s just so random and unorganised and a lot of scope to improve.,1,3,229,41,we had to wait an hour despite having an appointment this isnt the first time this happened they have no understanding of how to manage the appointment queue its just so random and unorganised and a lot of scope to improve,1
NH is one of the best hospital at hsr When we went there at first Mr Dileep Kumar coordinated the visit with our doctor and the visit was also comfortable and quick.,1,5,165,32,nh is one of the best hospital at hsr when we went there at first mr dileep kumar coordinated the visit with our doctor and the visit was also comfortable and quick,1
Consulting uther dr babu  reddy sir past 2yars for cardiologist strong good treating well and we'll explaining  each and very thing take caring very much about patients  can recommend  to this dr babu reddy  sir  and hospital.,1,5,226,37,consulting uther dr babu reddy sir past yars for cardiologist strong good treating well and well explaining each and very thing take caring very much about patients can recommend to this dr babu reddy sir and hospital,1
Drs r very They listen all the issue of patients carefully.,1,5,59,11,drs r very they listen all the issue of patients carefully,1
Best doctor available in narayana and also hospitality is very nice they provide a good and hyganic diet for patient Daily takes feedback related to their services.,1,4,164,27,best doctor available in narayana and also hospitality is very nice they provide a good and hyganic diet for patient daily takes feedback related to their services,1
Very good service by the hospital staff and nursing and Doctors l am happy about Narayana Hospital HSR.,1,5,103,18,very good service by the hospital staff and nursing and doctors l am happy about narayana hospital hsr,1
Excellent service The staff were all so polite and Dr Saji was so amazing Would definitely recommend.,1,4,101,17,excellent service the staff were all so polite and dr saji was so amazing would definitely recommend,1
Worst behaviour by ultrasound consultant She doesn't even speak properly she disconnects the calls in between Better to avoid We decided to do this from outside and move away from Narayana. ,0,1,190,31,worst behaviour by ultrasound consultant she doesnt even speak properly she disconnects the calls in between better to avoid we decided to do this from outside and move away from narayana,0
Look like Hospital doctors are well trained to ask patients to do unnecessary tests to generate more revenue for hospitals and they will also doctors will get some percentage from lab tests.,0,2,190,32,look like hospital doctors are well trained to ask patients to do unnecessary tests to generate more revenue for hospitals and they will also doctors will get some percentage from lab tests,0
We came for ultra sound for my wife Hospital staff are very helpful and friendly The lady named Sandhya assisting near ultrasound guided her to have water walk around and managing quote well all the patients,1,5,207,36,we came for ultra sound for my wife hospital staff are very helpful and friendly the lady named sandhya assisting near ultrasound guided her to have water walk around and managing quote well all the patients,1
Very pathetic experience I won't recommend this hospital to anyone.,0,1,67,10,very pathetic experience i wont recommend this hospital to anyone,0
Blood test guy was also good with his service But their ultra-sound testing service is very poor Won't suggest to do that from hospital.,1,3,136,24,blood test guy was also good with his service but their ultrasound testing service is very poor wont suggest to do that from hospital,1
Got a good experience during surgery of knee replacement for my mother.,1,5,71,12,got a good experience during surgery of knee replacement for my mother,1
the quality of the hos has tumbled down drastically Their nursing station do not honour the appointment time and they are clueless when to send a patient again back to the doctor,0,2,178,32,the quality of the hos has tumbled down drastically their nursing station do not honour the appointment time and they are clueless when to send a patient again back to the doctor,0
Everything was perfectly organised,1,4,34,4,everything was perfectly organised,1
The staff was highly attentive and professional ensuring my comfort throughout my visit and The facility's cleanliness and organization were also impressive.,1,4,157,22,the staff was highly attentive and professional ensuring my comfort throughout my visit and the facilitys cleanliness and organization were also impressive,1
I had many complications but she identified them at an early stage and continuously monitored the same to ensure a safe delivery During the delivery a smooth normal delivery,1,5,173,29,i had many complications but she identified them at an early stage and continuously monitored the same to ensure a safe delivery during the delivery a smooth normal delivery,1
A very poor experience of service by staffs food and they charge a bomb and Utter nonsense happened while I got admitted for a knee surgery.,0,2,140,26,a very poor experience of service by staffs food and they charge a bomb and utter nonsense happened while i got admitted for a knee surgery,0
One of many prominent hospitals found in Bangalore Found good service when visited last time for an emergency visit All the necessary tests were done in quick time,1,4,163,28,one of many prominent hospitals found in bangalore found good service when visited last time for an emergency visit all the necessary tests were done in quick time,1
I spent a good 5 hrs in that hospital for tests and consultations While the doctors are good the helping staff have no clue Especially the utility staff.,1,3,153,28,i spent a good hrs in that hospital for tests and consultations while the doctors are good the helping staff have no clue especially the utility staff,1
Poor experience for billing and Poor experience for billing.,1,3,60,9,poor experience for billing and poor experience for billing,1
I went to the hospital for minor symptoms like a cold there were no problems but when I went to the hospital for an emergency there seemed to be a lot of problems.,0,1,163,33,i went to the hospital for minor symptoms like a cold there were no problems but when i went to the hospital for an emergency there seemed to be a lot of problems,0
Grateful for the exceptional care and expertise at Manipal Hebbal Dr Shafalika and the staff made our visit stress immense appreciation and heartfelt thanks.,1,5,157,24,grateful for the exceptional care and expertise at manipal hebbal dr shafalika and the staff made our visit stress immense appreciation and heartfelt thanks,1
Efficient and compassionate emergency care though opted for surgery elsewhere due to cost grateful for the supportive billing team's prompt refund assistance.,1,3,158,22,efficient and compassionate emergency care though opted for surgery elsewhere due to cost grateful for the supportive billing teams prompt refund assistance,1
I was thoroughly impressed with the level of care and professionalism The doctors and nurses were knowledgeable and took the time to explain my treatment plan in a way that I could understand,1,4,191,33,i was thoroughly impressed with the level of care and professionalism the doctors and nurses were knowledgeable and took the time to explain my treatment plan in a way that i could understand,1
The services are up-to international standards Just one thing which annoys is they charge you parking fee even if you are spending thousands of money for treatment,1,3,163,27,the services are upto international standards just one thing which annoys is they charge you parking fee even if you are spending thousands of money for treatment,1
The management in reception are not more active I booked appointment through IHO for cunsultation I struglled too much for my appointment Overall behavior of all staff menbers are polite.,1,3,187,30,the management in reception are not more active i booked appointment through iho for cunsultation i struglled too much for my appointment overall behavior of all staff menbers are polite,1
Horrible condition of everything Blocked toilets blocked sinks unclean floors patient bed is also shaking and making noises Hospital making lots of money still not using for renovations Pathetic.,0,1,195,29,horrible condition of everything blocked toilets blocked sinks unclean floors patient bed is also shaking and making noises hospital making lots of money still not using for renovations pathetic,0
The comprehensive care provided by Manipal Hospital from the CCU and ICU units to the nursing stations was outstanding.,1,5,119,19,the comprehensive care provided by manipal hospital from the ccu and icu units to the nursing stations was outstanding,1
High cost paid parking even on admittance Management with high number of inpatient capacity theyâ€™re extremely busy nursing multiple patients and some misses here.,1,3,164,24,high cost paid parking even on admittance management with high number of inpatient capacity theyre extremely busy nursing multiple patients and some misses here,1
I recently visited this hospitality in Bangalore l I had a great experience Stars are very friendly and attentive Hospital is very clean and well maintained.,1,5,157,26,i recently visited this hospitality in bangalore l i had a great experience stars are very friendly and attentive hospital is very clean and well maintained,1
Horrible experience after colonoscopy Staff was talking rudely to her and when she told that she was in pain she was told not to make noise.,0,1,140,26,horrible experience after colonoscopy staff was talking rudely to her and when she told that she was in pain she was told not to make noise,0
Came for annual health checkup faced lot of issue to start the process Even booked 2 days before No staff poor management for a health checkup 6 hours.,0,2,151,28,came for annual health checkup faced lot of issue to start the process even booked days before no staff poor management for a health checkup hours,0
We couldnâ€™t get an appointment with Dr Abhijit but needed to see him urgently for my mother She was so kind and proactive and spoke to the doctor immediately and he kindly agreed to see her.,1,4,192,36,we couldnt get an appointment with dr abhijit but needed to see him urgently for my mother she was so kind and proactive and spoke to the doctor immediately and he kindly agreed to see her,1
She helped with booking an appointment with lab tests as well as helping me with a consulting doctor and made sure I go through a smooth process when I'm on my low Hos service was good as well.,1,5,193,38,she helped with booking an appointment with lab tests as well as helping me with a consulting doctor and made sure i go through a smooth process when im on my low hos service was good as well,1
The worst experience that I ever had at the hospital when I took my son to the emergency ward recently There was no bed in the emergency room for my son.,0,1,153,31,the worst experience that i ever had at the hospital when i took my son to the emergency ward recently there was no bed in the emergency room for my son,0
Worst facility no proper treatment provided to the patient and before estimated the bill will be limited to the extend and post that itâ€™s gonna be double and triple for unwanted test been performed.,0,2,200,34,worst facility no proper treatment provided to the patient and before estimated the bill will be limited to the extend and post that its gonna be double and triple for unwanted test been performed,0
No response from management properly and everything delay things never go smooth we need to wait for hours n hours even if the patient is under emergency they never take incharge of belonging,0,2,191,33,no response from management properly and everything delay things never go smooth we need to wait for hours n hours even if the patient is under emergency they never take incharge of belonging,0
Dear team hospital service and responsibilities of each staff was really good and pleasing she saved my energy and time as well Thanks.,1,5,135,23,dear team hospital service and responsibilities of each staff was really good and pleasing she saved my energy and time as well thanks,1
its simply four walls with marble floors and some people roaming around in green blue scrubs and some rooms that claim to be seating doctors Definitely not a hospital.,0,1,167,29,its simply four walls with marble floors and some people roaming around in green blue scrubs and some rooms that claim to be seating doctors definitely not a hospital,0
adiology department is very clean and give good service I am happy.,1,4,67,12,adiology department is very clean and give good service i am happy,1
We do not have enough word to express our gratitude towards Dr Vijaya for her attention expertise behaviour and understanding towards patient.,1,5,142,22,we do not have enough word to express our gratitude towards dr vijaya for her attention expertise behaviour and understanding towards patient,1
There has been a big issue is billing we were charged twice for room charges and insurance company also gave approval without a check for thier part of payment.,0,1,160,29,there has been a big issue is billing we were charged twice for room charges and insurance company also gave approval without a check for thier part of payment,0
The overall billing experiance made my impression as the management is just keen and making money be it even unethical.,1,3,119,20,the overall billing experiance made my impression as the management is just keen and making money be it even unethical,1
Hospital staff only provided an estimation post discharge estimation has changed and taken 60k extra.,0,2,101,15,hospital staff only provided an estimation post discharge estimation has changed and taken k extra,0
after take over by Manipal Management is not bothering about patients they need only Money.,0,2,91,15,after take over by manipal management is not bothering about patients they need only money,0
These walls have seen better days This establishment is looking like it's losing its zeal that was once loved and admired.,1,3,122,21,these walls have seen better days this establishment is looking like its losing its zeal that was once loved and admired,1
The staff seem to have become less responsive and lax after covid or probably under the new management.,0,1,103,18,the staff seem to have become less responsive and lax after covid or probably under the new management,0
I had an good experience in this Hospital where in the doctors are very helpful and experienced.,1,4,96,17,i had an good experience in this hospital where in the doctors are very helpful and experienced,1
Not so impressed with checkup but somehow have accepted Overall feels Not worthy.,1,3,81,13,not so impressed with checkup but somehow have accepted overall feels not worthy,1
My experience was really good here Supportive staffs and nurses Thank you Manipal and Team.,1,5,91,15,my experience was really good here supportive staffs and nurses thank you manipal and team,1
Worst experience Nurse station has no clue when doctor gonna see patient You will never find any doctor in their allotted room.,0,2,127,22,worst experience nurse station has no clue when doctor gonna see patient you will never find any doctor in their allotted room,0
Reception is eager to get the review even before service is delivered I got an appointment at 10:20 but it is changed to 11 AM I am not communicated on the same.,0,1,161,32,reception is eager to get the review even before service is delivered i got an appointment at but it is changed to am i am not communicated on the same,0
May be the treatment is good depends on the doctor but worst nursing experience management is average and the cost of treatment especially is abruptly and absurdly high.,1,3,169,28,may be the treatment is good depends on the doctor but worst nursing experience management is average and the cost of treatment especially is abruptly and absurdly high,1
Their cafeteria is an ABSOLUTE MESS Staff is clueless Apparently for health check up packages the menu is separate.,0,1,115,19,their cafeteria is an absolute mess staff is clueless apparently for health check up packages the menu is separate,0
We are convinced Henceforth we will continue our treatment here Keep up the Good work Manipal Hebbal.,1,5,101,17,we are convinced henceforth we will continue our treatment here keep up the good work manipal hebbal,1
This is unexpected waste time is more here please go to near by hospital Government hospital is better than this bloody hospital.,0,1,129,22,this is unexpected waste time is more here please go to near by hospital government hospital is better than this bloody hospital,0
We were at manipal to get my father treated for CBAG and we had a wonderful experience.,1,4,87,17,we were at manipal to get my father treated for cbag and we had a wonderful experience,1
It was amazing consultation and so friendly with us In the starting reception miss Sowmya she is so friendly and very kind with us and she will do warm greetings with us.,1,4,170,32,it was amazing consultation and so friendly with us in the starting reception miss sowmya she is so friendly and very kind with us and she will do warm greetings with us,1
My sister got an admitted here for delivery treatment was given well n also care well by staff.,1,5,95,18,my sister got an admitted here for delivery treatment was given well n also care well by staff,1
hey get the patient admitted in the ICU for a silly reason and charge â‚¹60000  per day also they don't diagnose the patient properly and they don't care about the patients,0,1,172,31,hey get the patient admitted in the icu for a silly reason and charge per day also they dont diagnose the patient properly and they dont care about the patients,0
There is parking charge for both 2 & 4 wheelers And there is no point in booking an appointment as they won't stick to the timings for OP Managing needs to be streamlined,0,2,170,33,there is parking charge for both wheelers and there is no point in booking an appointment as they wont stick to the timings for op managing needs to be streamlined,0
We have been waiting more 2hr their is no doctor at least no response from management that doctor will late,0,1,107,20,we have been waiting more hr their is no doctor at least no response from management that doctor will late,0
They add the charges for medicines which are not even prescribed.,0,1,65,11,they add the charges for medicines which are not even prescribed,0
I had the worst experience prices are high and service is too bad that reception staff makes you wait for hours.,0,2,112,21,i had the worst experience prices are high and service is too bad that reception staff makes you wait for hours,0
I had the best treatment during my stay in hospital Now I am back to normal works.,1,4,82,17,i had the best treatment during my stay in hospital now i am back to normal works,1
we are very grateful for the medical support and hospitality provided I highly recommend this hospital for its highly professional medical services.,1,4,148,22,we are very grateful for the medical support and hospitality provided i highly recommend this hospital for its highly professional medical services,1
He helped me with everything and made my job easy Overall I had a great experience at manipal hospital hebbal.,1,5,110,20,he helped me with everything and made my job easy overall i had a great experience at manipal hospital hebbal,1
That was a great experience to have selected Manipal hospital Hebbal out of other competitors around.,1,4,101,16,that was a great experience to have selected manipal hospital hebbal out of other competitors around,1
